Autor,Primeiro Nome,Titulos
Jean Moraes,Jean,Implementação de um cluster Kubernetes com a plataforma Dojot para Aplicações de Internet das Coisas
 Elen Lobato,Elen,Implementação de um cluster Kubernetes com a plataforma Dojot para Aplicações de Internet das Coisas
 Denis Rosário,Denis,Implementação de um cluster Kubernetes com a plataforma Dojot para Aplicações de Internet das Coisas
 Ubiratan Bezerra,Ubiratan,Implementação de um cluster Kubernetes com a plataforma Dojot para Aplicações de Internet das Coisas
 Eduardo Cerqueira,Eduardo,Implementação de um cluster Kubernetes com a plataforma Dojot para Aplicações de Internet das Coisas
 Maria Tostes,Maria,Implementação de um cluster Kubernetes com a plataforma Dojot para Aplicações de Internet das Coisas
 Andréia Antloga,Andréia,Implementação de um cluster Kubernetes com a plataforma Dojot para Aplicações de Internet das Coisas
Kauã B. Hopfer,Kauã,Uso de Aprendizado de Máquina Automatizado para Seleção de Provedores de Nuvem
 Adriano Fiorese,Adriano,Uso de Aprendizado de Máquina Automatizado para Seleção de Provedores de Nuvem
Lucas Nóvoa,Lucas,Middleware implementation for RYU SDN Controller to manage switches in a C-RAN scenario
 Virgínia Tavares,Virgínia,Middleware implementation for RYU SDN Controller to manage switches in a C-RAN scenario
 Cleverson Nahum,Cleverson,Middleware implementation for RYU SDN Controller to manage switches in a C-RAN scenario
 Silvia Lins,Silvia,Middleware implementation for RYU SDN Controller to manage switches in a C-RAN scenario
 Aldebaro Klautau,Aldebaro,Middleware implementation for RYU SDN Controller to manage switches in a C-RAN scenario
João Paulo K. S. Nunes,João,State of the Art on Microservices Autoscaling: An Overview
 Thiago Bianchi,Thiago,State of the Art on Microservices Autoscaling: An Overview
 Anderson Y. Iwasaki,Anderson,State of the Art on Microservices Autoscaling: An Overview
 Elisa Yumi Nakagawa,Elisa,State of the Art on Microservices Autoscaling: An Overview
Philippe Olivier Alexandre Navaux,Philippe,Desafios do Processamento de Alto Desempenho
 Matheus da Silva Serpa,Matheus,Desafios do Processamento de Alto Desempenho
Fábio Araújo,Fábio,Estratégia de Migração de Serviço baseada em Informações Contextuais em uma Arquitetura MEC
 Derian Sobral,Derian,Estratégia de Migração de Serviço baseada em Informações Contextuais em uma Arquitetura MEC
 Stefany Pinheiro,Stefany,Estratégia de Migração de Serviço baseada em Informações Contextuais em uma Arquitetura MEC
 Helder Oliveira,Helder,Estratégia de Migração de Serviço baseada em Informações Contextuais em uma Arquitetura MEC
 Denis Rosário,Denis,Estratégia de Migração de Serviço baseada em Informações Contextuais em uma Arquitetura MEC
Juliana Pereira Cabral,Juliana,Segurança em Dispositivos Móveis: Um Estudo Sobre a Adoção de Boas Práticas para Proteção em Celulares
 Herleson Paiva Pontes,Herleson,Segurança em Dispositivos Móveis: Um Estudo Sobre a Adoção de Boas Práticas para Proteção em Celulares
Fábio J. Coutinho,Fábio,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
 Dayvson Sales,Dayvson,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
 Wagner  Fontes,Wagner,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
 Samuel Lucas V. L. Barbosa,Samuel,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
 Victor Accete,Victor,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
 John Davi D. C. Pires,John,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
 Rebeca de Jesus Brandão,Rebeca,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
 André Luiz de O. Cezário,André,TATU: an Approach for Supporting Tourists with Disabilities to Indoor and Outdoor Navigation using Mobile Devices
Felipe Haertel,Felipe,Projeto Helix: Explorando Social Internet of Things (SIoT) no Atendimento à Pessoas Portadoras de Deficiência Visual
 Leandro Camargo,Leandro,Projeto Helix: Explorando Social Internet of Things (SIoT) no Atendimento à Pessoas Portadoras de Deficiência Visual
 João Lopes,João,Projeto Helix: Explorando Social Internet of Things (SIoT) no Atendimento à Pessoas Portadoras de Deficiência Visual
 Ana Pernas,Ana,Projeto Helix: Explorando Social Internet of Things (SIoT) no Atendimento à Pessoas Portadoras de Deficiência Visual
 Jorge Barbosa,Jorge,Projeto Helix: Explorando Social Internet of Things (SIoT) no Atendimento à Pessoas Portadoras de Deficiência Visual
 Adenauer Yamin,Adenauer,Projeto Helix: Explorando Social Internet of Things (SIoT) no Atendimento à Pessoas Portadoras de Deficiência Visual
Josiane Rosa de Oliveira Gaia Pimenta,Josiane,Evaluating Accessibility in Ubiquitous Environments: a Case Study with Museum Installations
 Emanuel Felipe Duarte,Emanuel,Evaluating Accessibility in Ubiquitous Environments: a Case Study with Museum Installations
 Maria Cecília Calani Baranauskas,Maria,Evaluating Accessibility in Ubiquitous Environments: a Case Study with Museum Installations
Javier Guillot Jiménez,Javier,CoEPinKB: A Framework to Understand the Connectivity of Entity Pairs in Knowledge Bases
 Luiz André P. Paes Leme,Luiz,CoEPinKB: A Framework to Understand the Connectivity of Entity Pairs in Knowledge Bases
 Marco A. Casanova,Marco,CoEPinKB: A Framework to Understand the Connectivity of Entity Pairs in Knowledge Bases
Paulo R. L. de Almeida,Paulo,Desafios na Gerência de Estacionamentos por Imagem
 Eduardo C. de Almeida,Eduardo,Desafios na Gerência de Estacionamentos por Imagem
Nina N. Zahn,Nina,Cross-Media Sentiment Analysis on German Blogs
 Greice P. Dal Molin,Greice,Cross-Media Sentiment Analysis on German Blogs
 Soraia R. Musse,Soraia,Cross-Media Sentiment Analysis on German Blogs
Silas S. L. Pereira,Silas,"Uma Abordagem baseada em Redes Neurais, Multiple Instance Learning e PCA para Detecção de Anomalias em Videovigilância"
 J. E. Bessa Maia,J.,"Uma Abordagem baseada em Redes Neurais, Multiple Instance Learning e PCA para Detecção de Anomalias em Videovigilância"
Bruna M. Dalmoro,Bruna,Predicting Popularity of Facebook Videos Through Visual Features Using Support Vector Machine Classifier
 Soraia R. Musse,Soraia,Predicting Popularity of Facebook Videos Through Visual Features Using Support Vector Machine Classifier
Felipe A. Ferreira,Felipe,Scaling up Cast Face Detection in Videos at Globo
 Bruno P. Oliveira,Bruno,Scaling up Cast Face Detection in Videos at Globo
 Rodrigo V. Kassick,Rodrigo,Scaling up Cast Face Detection in Videos at Globo
 Vinícius Furlan,Vinícius,Scaling up Cast Face Detection in Videos at Globo
 Hélio Lopes,Hélio,Scaling up Cast Face Detection in Videos at Globo
Vitor Hugo M. Gomes,Vitor,Modelo Georreferenciado de Disponibilidade de Internet para Educação Superior Online: Estudo de Caso no Estado do Pará
 Rodrigo Dutra,Rodrigo,Modelo Georreferenciado de Disponibilidade de Internet para Educação Superior Online: Estudo de Caso no Estado do Pará
 Weverson Nascimento,Weverson,Modelo Georreferenciado de Disponibilidade de Internet para Educação Superior Online: Estudo de Caso no Estado do Pará
 Luiz C. Ferreira,Luiz,Modelo Georreferenciado de Disponibilidade de Internet para Educação Superior Online: Estudo de Caso no Estado do Pará
 Marcelino S. da Silva,Marcelino,Modelo Georreferenciado de Disponibilidade de Internet para Educação Superior Online: Estudo de Caso no Estado do Pará
 Aldebaro B. R. Klautau,Aldebaro,Modelo Georreferenciado de Disponibilidade de Internet para Educação Superior Online: Estudo de Caso no Estado do Pará
 Antônio Pereira,Antônio,Modelo Georreferenciado de Disponibilidade de Internet para Educação Superior Online: Estudo de Caso no Estado do Pará
Marcos Henrique Alves da Silva,Marcos,Automation: Uma Ferramenta para a Evolução de um Tradutor Automático Português-Libras com Corpus Colaborativo
 Tiago Maritan Ugulino de Araújo,Tiago,Automation: Uma Ferramenta para a Evolução de um Tradutor Automático Português-Libras com Corpus Colaborativo
 Rostand Edson Oliveira Costa,Rostand,Automation: Uma Ferramenta para a Evolução de um Tradutor Automático Português-Libras com Corpus Colaborativo
 Samuel de Moura Moreira,Samuel,Automation: Uma Ferramenta para a Evolução de um Tradutor Automático Português-Libras com Corpus Colaborativo
 Lucas Moreira e Silva Alves,Lucas,Automation: Uma Ferramenta para a Evolução de um Tradutor Automático Português-Libras com Corpus Colaborativo
Antonio L. Amadeu,Antonio,Machine Learning based Pricing Methodology for the Logistic Domain: a Preliminary Approach
 Fernando Vinturin,Fernando,Machine Learning based Pricing Methodology for the Logistic Domain: a Preliminary Approach
 Guilherme A. Zimeo Morais,Guilherme,Machine Learning based Pricing Methodology for the Logistic Domain: a Preliminary Approach
 Maickel Hubner,Maickel,Machine Learning based Pricing Methodology for the Logistic Domain: a Preliminary Approach
 Eduardo M. Pereira,Eduardo,Machine Learning based Pricing Methodology for the Logistic Domain: a Preliminary Approach
 Marcelo Santos,Marcelo,Machine Learning based Pricing Methodology for the Logistic Domain: a Preliminary Approach
Camila Gusmão,Camila,Técnicas de Processamento de Linguagem Natural em Denúncias Criminais: Automatização e Classificação de Texto em Português Coloquial
 Karla Figueiredo,Karla,Técnicas de Processamento de Linguagem Natural em Denúncias Criminais: Automatização e Classificação de Texto em Português Coloquial
 Walkir A. T. Brito,Walkir,Técnicas de Processamento de Linguagem Natural em Denúncias Criminais: Automatização e Classificação de Texto em Português Coloquial
Luciano D. S. Pacífico,Luciano,Geração de Receitas Culinárias para Usuários com Restrições Alimentares pela Substituição Automática de Ingredientes
 Larissa F. S. Britto,Larissa,Geração de Receitas Culinárias para Usuários com Restrições Alimentares pela Substituição Automática de Ingredientes
 Teresa B. Ludermir,Teresa,Geração de Receitas Culinárias para Usuários com Restrições Alimentares pela Substituição Automática de Ingredientes
Max Filipe da Costa Braga,Max,Análise de sentimento com rede neural convolucional: uma investigação do fator motivacional da metodologia de aprendizagem criativa
 Wilson Rogério Soares e Silva,Wilson,Análise de sentimento com rede neural convolucional: uma investigação do fator motivacional da metodologia de aprendizagem criativa
 Orlando Shigueo Ohashi Junior,Orlando,Análise de sentimento com rede neural convolucional: uma investigação do fator motivacional da metodologia de aprendizagem criativa
 Renato Hidaka Torres,Renato,Análise de sentimento com rede neural convolucional: uma investigação do fator motivacional da metodologia de aprendizagem criativa
Larissa Mukuno,Larissa,Aplicando modelo de aprendizagem supervisionada para apoio ao score de autenticação biométrica
 Erick Takeshi Moraes,Erick,Aplicando modelo de aprendizagem supervisionada para apoio ao score de autenticação biométrica
 Rafael Mansur Haddad,Rafael,Aplicando modelo de aprendizagem supervisionada para apoio ao score de autenticação biométrica
 Eduardo C. Almeida,Eduardo,Aplicando modelo de aprendizagem supervisionada para apoio ao score de autenticação biométrica
Edleno Silva de Moura,Edleno,Jusbrasil e os Desafios Tecnológicos para Facilitar e Aprimorar o Acesso à Justiça
 Rafael Costa,Rafael,Jusbrasil e os Desafios Tecnológicos para Facilitar e Aprimorar o Acesso à Justiça
 Gabriel Jordão,Gabriel,Jusbrasil e os Desafios Tecnológicos para Facilitar e Aprimorar o Acesso à Justiça
 Gustavo Barreto Maia,Gustavo,Jusbrasil e os Desafios Tecnológicos para Facilitar e Aprimorar o Acesso à Justiça
Guilherme G. Souza,Guilherme,Sistema de Hardware/Software para Estimativas de Perdas de Geração em Usinas Solares Fotovoltaicas
 Ricardo R. Santos,Ricardo,Sistema de Hardware/Software para Estimativas de Perdas de Geração em Usinas Solares Fotovoltaicas
 Erlandson F. Saraiva,Erlandson,Sistema de Hardware/Software para Estimativas de Perdas de Geração em Usinas Solares Fotovoltaicas
Paulo A. Dal Fabbro,Paulo,Dealing with the Obsolescence of Programmable Logic Devices (PLDs) in Electronic Products
 Heider Marconi G. Madureira,Heider,Dealing with the Obsolescence of Programmable Logic Devices (PLDs) in Electronic Products
 Marcos B. Hervé,Marcos,Dealing with the Obsolescence of Programmable Logic Devices (PLDs) in Electronic Products
 Daniel L. Ferrão,Daniel,Dealing with the Obsolescence of Programmable Logic Devices (PLDs) in Electronic Products
 Murilo P. Pessatti,Murilo,Dealing with the Obsolescence of Programmable Logic Devices (PLDs) in Electronic Products
Fábio Rodrigues de la Rocha,Fábio,Medidores Inteligentes de Consumo Baseados numa Estrategia de Sensoriamento de Multidão
