,nome,ratio,gênero_real,gênero_predito
77699,thaini,1.0,0,1
20893,edeilsa,1.0,0,1
82859,waneska,1.0,0,1
15051,dagna,1.0,0,1
28219,evilany,1.0,0,1
87089,shierley,1.0,0,1
49936,kize,1.0,0,1
30990,genieide,1.0,0,1
75101,sirleuza,1.0,0,1
41387,jancleide,1.0,0,1
14128,clissia,1.0,0,1
15558,damina,1.0,0,1
35223,helenair,1.0,0,1
7883,artemilda,1.0,0,1
61366,nandra,1.0,0,1
50529,laisla,1.0,0,1
72891,samia,0.995488413425388,0,1
5642,anangelica,1.0,0,1
95301,adenilia,1.0,0,1
33136,gisselma,1.0,0,1
53065,lindamara,1.0,0,1
20793,edaiane,1.0,0,1
39103,isalla,1.0,0,1
97360,edilele,1.0,0,1
40113,ivonilza,1.0,0,1
71683,rosineiri,1.0,0,1
94423,valtiza,1.0,0,1
90743,tathila,1.0,0,1
88728,ilsia,1.0,0,1
10969,cathia,1.0,0,1
81407,veraneide,1.0,0,1
59882,miracilda,1.0,0,1
1645,adnea,1.0,0,1
96702,mabiele,1.0,0,1
55354,luziandra,1.0,0,1
9066,aynoa,1.0,0,1
14801,cristini,1.0,0,1
63192,niceia,0.9930232558139536,0,1
2874,albene,0.7266187050359713,0,1
55644,macilene,0.994269340974212,0,1
97810,egilia,1.0,0,1
53554,liticia,1.0,0,1
37101,idamaris,1.0,0,1
99223,alaeni,1.0,0,1
75051,sirilei,1.0,0,1
94617,aldema,0.6893939393939394,0,1
90464,gilele,1.0,0,1
34347,gricelda,1.0,0,1
44992,jonelma,1.0,0,1
55545,mab,1.0,0,1
2493,aiona,1.0,0,1
68895,rejanilda,1.0,0,1
33135,gisselly,1.0,0,1
19383,dircemar,1.0,0,1
32857,ginna,1.0,0,1
75433,sonielle,1.0,0,1
67257,queilha,1.0,0,1
79579,valdeita,1.0,0,1
58152,marusa,1.0,0,1
29166,florena,1.0,0,1
17465,deomara,1.0,0,1
12918,claurea,1.0,0,1
86591,tailania,1.0,0,1
137,abilde,0.5038759689922481,0,1
30416,gedi,0.717948717948718,0,1
96070,jeuciane,1.0,0,1
11398,cenyra,1.0,0,1
82647,walquirene,1.0,0,1
98688,lurrane,1.0,0,1
27929,evanea,1.0,0,1
12791,claudineti,1.0,0,1
88512,seica,1.0,0,1
14486,crenir,1.0,0,1
30710,geliani,1.0,0,1
86419,eveliy,1.0,0,1
98599,bernabete,1.0,0,1
61240,nalanda,1.0,0,1
85002,yuliane,1.0,0,1
22695,eiane,1.0,0,1
9459,benedita,0.9958634070624758,0,1
63779,nirvana,1.0,0,1
14111,clis,0.717391304347826,0,1
25409,enedilza,1.0,0,1
46659,juceia,1.0,0,1
50773,laryce,1.0,0,1
17843,deusdenia,1.0,0,1
86443,micoli,1.0,0,1
842,adelina,0.9961748246794644,0,1
90076,isabora,1.0,0,1
11380,cenilma,1.0,0,1
91609,cleza,1.0,0,1
48396,katarine,1.0,0,1
61437,narcisa,1.0,0,1
55116,lurdi,1.0,0,1
12051,ciliane,1.0,0,1
61996,naysa,1.0,0,1
78554,tracy,1.0,0,1
97290,elbanira,1.0,0,1
63470,nilcineide,1.0,0,1
99354,hiorrane,1.0,0,1
8424,audelene,1.0,0,1
71515,rosidete,1.0,0,1
35131,heilane,1.0,0,1
25709,enza,1.0,0,1
80266,valmice,1.0,0,1
32934,giovannina,1.0,0,1
10333,calila,1.0,0,1
14601,criscila,1.0,0,1
52252,leovir,0.5906040268456376,0,1
89442,rosama,1.0,0,1
56576,marci,0.6812080536912751,0,1
23594,elidea,1.0,0,1
47833,kadige,1.0,0,1
748,adejanira,1.0,0,1
20246,dorothy,1.0,0,1
93199,laeissa,1.0,0,1
31448,geria,1.0,0,1
10352,calise,1.0,0,1
94419,luceilde,1.0,0,1
3141,alcimara,1.0,0,1
82289,walcilene,1.0,0,1
20183,dorisneide,1.0,0,1
37161,idelane,1.0,0,1
80339,valnida,1.0,0,1
43304,jeyse,1.0,0,1
82006,vitorina,1.0,0,1
50736,larisa,0.995542406311637,0,1
50813,lauce,1.0,0,1
78451,tiziana,1.0,0,1
32267,gilbetania,1.0,0,1
76882,tanicler,1.0,0,1
49032,kellyane,1.0,0,1
39027,isabelita,1.0,0,1
95291,aldenides,1.0,0,1
45414,josangela,1.0,0,1
72567,saadya,1.0,0,1
55716,maday,1.0,0,1
62909,neuraides,1.0,0,1
98070,micala,1.0,0,1
9519,benilma,1.0,0,1
78123,theonila,1.0,0,1
97517,mirreli,1.0,0,1
1585,adleuza,1.0,0,1
69341,rhanielle,1.0,0,1
63359,niely,1.0,0,1
40712,jadia,1.0,0,1
29409,francerlane,1.0,0,1
17488,deonila,1.0,0,1
87438,aliany,1.0,0,1
57028,mariciane,1.0,0,1
28368,eysla,1.0,0,1
55555,mabiana,1.0,0,1
98351,walta,1.0,0,1
86844,gabreili,1.0,0,1
42682,jenair,0.5490196078431373,0,1
97694,stefaniy,1.0,0,1
3816,aleli,1.0,0,1
59699,milde,1.0,0,1
49372,keslem,0.5,0,1
97348,zaleia,1.0,0,1
15847,darcieli,1.0,0,1
41944,jardene,0.936685288640596,0,1
17769,deucilia,1.0,0,1
18987,dinaise,1.0,0,1
41970,jardielle,1.0,0,1
23665,eliege,0.985947161326588,0,1
92896,claudinha,1.0,0,1
22456,edvanda,1.0,0,1
44842,joize,1.0,0,1
42928,jerfferson,1.0,1,0
49576,ketula,1.0,0,1
50559,laldiane,1.0,0,1
26415,erly,0.5884244372990354,0,1
2842,albanita,1.0,0,1
98765,deiciele,1.0,0,1
42189,jassiane,1.0,0,1
41224,jamilda,1.0,0,1
42726,jenica,1.0,0,1
99900,sina,1.0,0,1
65348,ophelia,1.0,0,1
12953,clauza,1.0,0,1
4013,alexia,0.9905877833269304,0,1
12211,cirlane,0.9707673568818516,0,1
57509,marisane,1.0,0,1
11343,celui,1.0,0,1
93068,merele,1.0,0,1
11280,celisa,1.0,0,1
55906,magui,1.0,0,1
62670,nercilene,1.0,0,1
50439,laici,1.0,0,1
98323,josida,1.0,0,1
76284,swellen,1.0,0,1
79464,valcira,1.0,0,1
73729,senilva,1.0,0,1
48976,keline,1.0,0,1
15578,danatieli,1.0,0,1
35253,helenise,1.0,0,1
34854,hariadne,1.0,0,1
89963,jlia,1.0,0,1
31761,gesiana,1.0,0,1
93779,edilis,1.0,0,1
63845,niuza,1.0,0,1
10450,candisse,1.0,0,1
6324,angenilda,1.0,0,1
56072,mailu,1.0,0,1
47525,juscileia,1.0,0,1
54790,lucylla,1.0,0,1
43463,jhoane,1.0,0,1
54296,luanir,1.0,0,1
60647,mycaela,1.0,0,1
44739,joici,0.9720670391061452,0,1
57351,marine,0.9834004024144868,0,1
88587,zenize,1.0,0,1
75934,suiam,1.0,0,1
79348,vaide,0.5111111111111111,0,1
87454,wastir,1.0,0,1
5621,anameri,1.0,0,1
35216,heleida,1.0,0,1
60832,nadieje,1.0,0,1
54558,lucileda,1.0,0,1
6556,anneli,1.0,0,1
70717,ronalda,0.9107806691449816,0,1
89283,edijelma,1.0,0,1
23918,elineth,1.0,0,1
81077,vanissa,1.0,0,1
52367,letticya,1.0,0,1
49002,kelley,1.0,0,1
51175,lavinie,1.0,0,1
89724,ketilim,1.0,0,1
13520,clenilse,1.0,0,1
6532,anja,1.0,0,1
47131,julienne,1.0,0,1
61186,naise,1.0,0,1
95399,rosilina,1.0,0,1
55841,magdalia,1.0,0,1
96659,nathalin,1.0,0,1
64039,noemea,1.0,0,1
37727,ildenis,1.0,0,1
77068,tasia,1.0,0,1
86006,elerina,1.0,0,1
55983,maidana,1.0,0,1
7283,aridne,1.0,0,1
9372,belisia,1.0,0,1
65275,onezinda,1.0,0,1
71234,rosejane,1.0,0,1
77668,thailane,1.0,0,1
63161,niana,1.0,0,1
77098,tate,1.0,0,1
9514,benilce,1.0,0,1
91687,maleide,1.0,0,1
525,adalmira,1.0,0,1
52939,lili,0.9513258263712314,0,1
38374,iollanda,1.0,0,1
63041,neuziane,1.0,0,1
3864,alenize,1.0,0,1
84656,yanca,1.0,0,1
60183,missicleide,1.0,0,1
37902,ilnaria,1.0,0,1
4757,alua,1.0,0,1
62237,neilany,1.0,0,1
97012,virjinia,1.0,0,1
57364,marineiz,1.0,0,1
47232,julma,1.0,0,1
51219,layenne,1.0,0,1
27678,eusangela,1.0,0,1
50456,laiene,1.0,0,1
46994,jugleide,1.0,0,1
77013,tarissa,1.0,0,1
75304,solangen,1.0,0,1
44851,jolandia,1.0,0,1
13786,cleuciana,1.0,0,1
22117,edmilla,1.0,0,1
27724,eutalina,1.0,0,1
79190,urani,0.6783625730994152,0,1
24789,elua,1.0,0,1
36932,iascara,1.0,0,1
75089,sirleis,1.0,0,1
86756,elisenir,1.0,0,1
100412,cinelda,1.0,0,1
8584,aurelia,0.9947404527784128,0,1
48040,kalitta,1.0,0,1
64197,normacy,1.0,0,1
74779,silvineide,1.0,0,1
69938,rivalda,0.9749430523917996,0,1
81586,veronique,1.0,0,1
51551,leidimar,0.8184722625617195,0,1
57513,marisanta,1.0,0,1
59494,michella,1.0,0,1
56172,maiude,1.0,0,1
36017,hestefani,1.0,0,1
92956,aileen,1.0,0,1
87179,lusileia,1.0,0,1
72005,rozenilde,1.0,0,1
54887,lue,1.0,0,1
38709,ireda,1.0,0,1
50180,krisllen,1.0,0,1
9329,belanisa,1.0,0,1
33439,glaucielen,1.0,0,1
1441,adineide,1.0,0,1
55703,maculada,1.0,0,1
6094,andrizia,1.0,0,1
84942,ysabelly,1.0,0,1
20853,edcler,0.5660377358490566,0,1
24131,elisianne,1.0,0,1
53534,lissa,1.0,0,1
10777,carmita,1.0,0,1
49058,kelrin,1.0,0,1
10857,carulini,1.0,0,1
12622,claudenice,0.9893364928909952,0,1
28136,everane,1.0,0,1
8672,aurici,1.0,0,1
57393,marineti,1.0,0,1
12125,cinele,1.0,0,1
33082,gislaynne,1.0,0,1
19069,diniane,1.0,0,1
17964,deusuite,0.9552980132450332,0,1
63434,nilcelia,1.0,0,1
78183,thiellen,1.0,0,1
77879,thanyse,1.0,0,1
40808,jaena,1.0,0,1
27578,eurenildes,1.0,0,1
3162,alcinea,1.0,0,1
61980,naynara,1.0,0,1
34994,hayme,1.0,0,1
99580,isena,1.0,0,1
73281,sarisa,1.0,0,1
6629,anteia,1.0,0,1
97927,gabryely,1.0,0,1
75751,suecia,1.0,0,1
13448,clemence,1.0,0,1
49921,kiuvia,1.0,0,1
94023,leiciele,1.0,0,1
26048,erida,1.0,0,1
80282,valmina,1.0,0,1
56148,mairy,1.0,0,1
19576,divanize,1.0,0,1
92809,eulesia,1.0,0,1
95120,katilaine,1.0,0,1
7762,arna,1.0,0,1
80857,vandrea,1.0,0,1
78394,tilsa,1.0,0,1
97072,keulin,1.0,0,1
41533,janeire,1.0,0,1
56888,margane,1.0,0,1
93745,nielci,1.0,0,1
99681,estafanny,1.0,0,1
90476,aiaco,1.0,0,1
57403,marineusa,1.0,0,1
46930,judiceia,1.0,0,1
49920,kitty,1.0,0,1
27816,euzimara,1.0,0,1
20585,durvalina,0.9924595253936572,0,1
57987,marqueane,1.0,0,1
57550,marismene,1.0,0,1
61262,naldia,1.0,0,1
98733,sandeli,1.0,0,1
69825,risolania,1.0,0,1
29660,francineis,0.6019417475728155,0,1
92966,lituina,1.0,0,1
9436,benair,0.6381909547738693,0,1
76451,tahisa,1.0,0,1
18140,devonice,1.0,0,1
97139,yelen,1.0,0,1
66693,pauliane,1.0,0,1
60214,mitiele,1.0,0,1
66561,pamylla,1.0,0,1
85317,zelite,1.0,0,1
44804,joirce,1.0,0,1
22278,ednize,1.0,0,1
11024,catlen,1.0,0,1
44522,joelma,0.995941152031022,0,1
13702,clerida,1.0,0,1
24594,elnir,0.7,0,1
34119,gracimere,1.0,0,1
88084,jiulha,1.0,0,1
71130,rosandra,1.0,0,1
80043,valdirleia,1.0,0,1
99455,angieli,1.0,0,1
36619,huana,1.0,0,1
79352,vaildes,1.0,0,1
26249,erissandra,1.0,0,1
95933,dolzira,1.0,0,1
33562,gleciana,1.0,0,1
69900,ritielly,1.0,0,1
22206,edne,0.6760925449871465,0,1
97505,eidineia,1.0,0,1
61707,natcha,1.0,0,1
56901,margari,1.0,0,1
71760,rosivania,0.9942222222222222,0,1
50190,kristiane,1.0,0,1
86092,silar,1.0,0,1
39863,ivanese,1.0,0,1
80770,vanderluci,0.8302583025830258,0,1
52660,licelma,1.0,0,1
46413,joviniana,1.0,0,1
94014,marieusa,1.0,0,1
88746,silvaana,1.0,0,1
42193,jassimara,1.0,0,1
34465,guilha,1.0,0,1
89111,jeisilane,1.0,0,1
23461,elianaide,1.0,0,1
67800,raiomara,1.0,0,1
42359,jeanne,1.0,0,1
36142,hideko,1.0,0,1
84714,yasmim,0.9954016271165588,0,1
10445,candice,1.0,0,1
56992,mariaurea,1.0,0,1
49412,kete,1.0,0,1
97453,osanilda,1.0,0,1
30129,gabrielen,1.0,0,1
68083,ranele,1.0,0,1
48306,karolina,0.9958291203235592,0,1
19048,dinele,1.0,0,1
51649,leily,1.0,0,1
61042,naialy,1.0,0,1
55714,madaline,1.0,0,1
52674,licidalva,1.0,0,1
67189,prislla,1.0,0,1
11298,celiza,1.0,0,1
83085,wedja,0.9911126910771418,0,1
77434,tenisa,1.0,0,1
38865,irisnara,1.0,0,1
39404,isoleta,1.0,0,1
62093,necilda,1.0,0,1
5927,andreisa,1.0,0,1
80795,vandete,0.9723287671232876,0,1
80961,vangeli,1.0,0,1
57718,marjury,1.0,0,1
81508,verina,1.0,0,1
51955,leocina,1.0,0,1
87952,kessili,1.0,0,1
41581,janeth,1.0,0,1
16395,deby,1.0,0,1
17505,deonizia,1.0,0,1
46013,josinea,1.0,0,1
10155,bruniele,1.0,0,1
6169,anelia,1.0,0,1
72499,rutinei,0.5363636363636364,0,1
18847,dilina,1.0,0,1
44729,joiceleide,1.0,0,1
76698,talisia,1.0,0,1
51342,leatricia,1.0,0,1
28280,evna,1.0,0,1
54597,lucilvia,1.0,0,1
87621,juciline,1.0,0,1
79950,valdimaria,1.0,0,1
38492,iracides,0.7473684210526316,0,1
74942,sindy,0.981335247666906,0,1
44369,jodelice,1.0,0,1
93061,carolinr,1.0,0,1
48813,keico,1.0,0,1
92004,ranilly,1.0,0,1
37750,ildetina,1.0,0,1
64627,odenilse,1.0,0,1
73458,sebastana,1.0,0,1
49433,keterin,1.0,0,1
18597,dielia,1.0,0,1
90479,pascolina,1.0,0,1
44486,joelene,1.0,0,1
3549,aldileide,1.0,0,1
46458,jozaine,1.0,0,1
74199,siane,1.0,0,1
71479,rosianne,1.0,0,1
86773,jorjete,1.0,0,1
28231,evileide,1.0,0,1
42632,jelena,1.0,0,1
91112,jeiziele,1.0,0,1
76225,suzette,1.0,0,1
64598,odelita,1.0,0,1
87842,simonr,1.0,0,1
71739,rosislene,1.0,0,1
76817,tamis,0.8947368421052632,0,1
60905,nadjila,1.0,0,1
59002,melane,1.0,0,1
49861,kimily,1.0,0,1
90559,lorrena,1.0,0,1
27689,euseni,1.0,0,1
68396,ravini,1.0,0,1
99096,rosolina,1.0,0,1
18798,dilcimara,1.0,0,1
41242,jamilly,0.994834094973177,0,1
29244,floriscena,1.0,0,1
45918,josikeli,1.0,0,1
97781,neldete,1.0,0,1
94223,creonir,0.5,0,1
10275,caisla,1.0,0,1
32307,gilcia,1.0,0,1
41586,janette,1.0,0,1
71512,rosideia,1.0,0,1
37975,ilvani,0.812,0,1
63314,nidinalva,1.0,0,1
45401,josalia,1.0,0,1
22086,edmarina,1.0,0,1
34874,harissa,1.0,0,1
65777,orsina,1.0,0,1
74727,silveni,1.0,0,1
35947,herodias,1.0,0,1
67310,quemile,1.0,0,1
37331,idiamara,1.0,0,1
64518,odalea,1.0,0,1
75587,stefny,1.0,0,1
98785,keyli,1.0,0,1
56649,marciliane,1.0,0,1
41172,jalva,1.0,0,1
29381,francelize,1.0,0,1
25143,emilainy,1.0,0,1
98899,katyele,1.0,0,1
48324,karolly,1.0,0,1
20860,edda,1.0,0,1
47825,kacieli,1.0,0,1
36184,hilara,1.0,0,1
15030,dafny,1.0,0,1
29418,franchesca,1.0,0,1
75721,suad,1.0,0,1
69314,rhaiana,1.0,0,1
96334,jasilma,1.0,0,1
37383,idionete,1.0,0,1
57668,marizana,1.0,0,1
89440,geisile,1.0,0,1
30544,geisabel,1.0,0,1
49088,kelvia,1.0,0,1
64267,nubelia,1.0,0,1
63769,nirse,1.0,0,1
48701,kayany,1.0,0,1
92262,orileide,1.0,0,1
11139,ceica,1.0,0,1
39804,ivanaria,1.0,0,1
59368,messia,0.7115384615384616,0,1
59511,micherlandia,1.0,0,1
15372,dalmarcia,1.0,0,1
24549,elma,0.9958847736625516,0,1
24118,eliseth,1.0,0,1
96415,kalla,1.0,0,1
78599,tuana,1.0,0,1
84437,wlliana,1.0,0,1
86721,dezita,1.0,0,1
32557,gillane,1.0,0,1
59089,melori,1.0,0,1
41928,jardelane,1.0,0,1
44120,jocelane,1.0,0,1
66227,otilia,0.9966943220119264,0,1
75068,sirlande,0.7708978328173375,0,1
24181,elisnanda,1.0,0,1
93157,elexina,1.0,0,1
65364,oracilia,1.0,0,1
8405,auda,1.0,0,1
79305,vadineia,1.0,0,1
44737,joiceneia,1.0,0,1
29903,frankilane,1.0,0,1
15593,daneila,1.0,0,1
66795,percides,1.0,0,1
62682,nercy,0.8091715976331361,0,1
5460,anaelly,1.0,0,1
49315,kerolai,1.0,0,1
72614,sacramento,1.0,0,1
63425,nilcelaine,1.0,0,1
43403,jhenife,1.0,0,1
93914,quetely,1.0,0,1
5701,anatalha,1.0,0,1
82028,vivan,1.0,0,1
18706,digna,1.0,0,1
59397,meyriele,1.0,0,1
23740,eliesi,0.6086956521739131,0,1
14790,cristimara,1.0,0,1
78318,tiare,1.0,0,1
5764,anayla,1.0,0,1
19564,divanilde,1.0,0,1
18577,dieinifer,1.0,0,1
87227,giselhe,1.0,0,1
6131,anede,1.0,0,1
98902,carmele,1.0,0,1
14466,cremilde,1.0,0,1
7791,arnilde,1.0,0,1
92220,anesa,1.0,0,1
55774,maeli,0.9816543289346636,0,1
46683,juceli,0.8193630169545238,0,1
24478,elizonia,1.0,0,1
93147,agatah,1.0,0,1
87967,mauricei,1.0,0,1
7018,arcendina,1.0,0,1
289,acilane,1.0,0,1
82061,vivilene,1.0,0,1
24847,elvane,0.5241379310344828,0,1
81924,virgimar,1.0,0,1
63215,nichelle,1.0,0,1
35551,hemanuelle,1.0,0,1
34756,hallyne,1.0,0,1
91905,xailane,1.0,0,1
53079,lindarcy,1.0,0,1
73112,sandrimar,0.5,0,1
42341,jeanice,1.0,0,1
92446,klair,1.0,0,1
52883,liete,0.9863387978142076,0,1
70934,roniscleia,1.0,0,1
73599,seliene,1.0,0,1
18770,dilca,1.0,0,1
49821,kilia,1.0,0,1
68199,ranusia,1.0,0,1
35264,helenna,1.0,0,1
92507,genelda,1.0,0,1
43226,jesueli,1.0,0,1
64996,olenia,1.0,0,1
32371,gildania,1.0,0,1
8965,avilane,1.0,0,1
95473,joima,1.0,0,1
3042,alcenita,1.0,0,1
77022,tarlene,1.0,0,1
16912,delicia,1.0,0,1
77742,thaisy,1.0,0,1
27007,esterfeson,1.0,1,0
87289,elisaide,1.0,0,1
98066,edinize,1.0,0,1
71449,rosete,0.9909828674481514,0,1
23470,eliandia,1.0,0,1
68541,raysse,1.0,0,1
68757,regyane,1.0,0,1
8121,astrid,1.0,0,1
24592,elnice,1.0,0,1
80658,vandelene,1.0,0,1
14029,cleysla,1.0,0,1
37868,ilita,1.0,0,1
30632,geizeane,1.0,0,1
68850,reiny,0.6376811594202898,0,1
35957,herondina,1.0,0,1
28399,ezeli,1.0,0,1
95879,daesy,1.0,0,1
59194,mercedis,1.0,0,1
74106,sheysa,1.0,0,1
39530,itaiara,1.0,0,1
81921,virgilina,1.0,0,1
34297,greisi,1.0,0,1
61924,nayade,1.0,0,1
9597,beranice,1.0,0,1
58927,meireluci,1.0,0,1
74979,sinha,1.0,0,1
89154,eshlei,1.0,0,1
25820,erbeni,1.0,0,1
50001,kledia,1.0,0,1
65727,orneide,0.6527777777777778,0,1
15547,damile,1.0,0,1
16991,delmina,1.0,0,1
85912,michieli,1.0,0,1
64549,odaria,1.0,0,1
1769,adreane,1.0,0,1
73107,sandriene,1.0,0,1
94797,zaane,1.0,0,1
94204,ereca,1.0,0,1
29527,francikelly,1.0,0,1
100705,zuilda,1.0,0,1
80912,vaneli,1.0,0,1
54192,lourinalva,1.0,0,1
58904,meily,1.0,0,1
75136,sislei,0.6417910447761194,0,1
41481,jandrea,1.0,0,1
100462,dinail,1.0,0,1
59137,melyne,1.0,0,1
44836,joiuma,1.0,0,1
50652,langela,1.0,0,1
20393,duci,1.0,0,1
49337,kerolly,1.0,0,1
63284,nicoline,1.0,0,1
70469,rogilene,1.0,0,1
87298,neicilene,1.0,0,1
7242,ariceia,1.0,0,1
18365,dhiessica,1.0,0,1
84409,wivila,1.0,0,1
24234,elitane,1.0,0,1
86570,deusy,1.0,0,1
100608,geniy,1.0,0,1
64137,noraney,1.0,0,1
74356,sidirlene,1.0,0,1
24712,eloyze,1.0,0,1
56970,mariangela,0.997557798762618,0,1
90419,alexssadra,1.0,0,1
72688,saina,1.0,0,1
41884,jaquileide,1.0,0,1
5830,anderluce,1.0,0,1
56945,mariah,0.993844696969697,0,1
87431,madilde,1.0,0,1
21491,edilina,1.0,0,1
65885,osenice,1.0,0,1
52657,liceli,1.0,0,1
92485,corol,1.0,0,1
4391,allexandra,1.0,0,1
25925,erena,1.0,0,1
