,nome,ratio,genero_real,genero_predito_SVM,genero_predito_CNN,genero_predito_BiLSTM
77699,thaini,1.0,F,F,0,1
21959,edjaelson,1.0,M,M,1,1
20893,edeilsa,1.0,F,F,1,1
42889,jequeson,1.0,M,M,1,1
4172,alicino,1.0,M,M,1,1
44462,joelber,1.0,M,M,0,1
82859,waneska,1.0,F,F,0,1
15051,dagna,1.0,F,F,1,1
49223,kenni,0.7111111111111111,M,F,1,1
28219,evilany,1.0,F,F,1,1
87089,shierley,1.0,F,F,0,1
49936,kize,1.0,F,F,1,1
30990,genieide,1.0,F,F,1,1
21039,edenar,0.5272727272727272,M,M,1,1
75101,sirleuza,1.0,F,F,1,1
34150,gracioso,1.0,M,M,1,1
41387,jancleide,1.0,F,F,1,1
67052,poliano,1.0,M,M,1,1
32719,gilvagner,1.0,M,M,1,1
14128,clissia,1.0,F,F,1,1
15558,damina,1.0,F,F,0,1
35223,helenair,1.0,F,F,1,1
40138,iwao,1.0,M,M,1,1
7883,artemilda,1.0,F,F,1,1
95683,helizeu,1.0,M,M,0,1
61366,nandra,1.0,F,F,1,1
50529,laisla,1.0,F,F,1,1
9253,barton,1.0,M,M,1,1
72891,samia,0.995488413425388,F,F,1,1
79891,valdicio,1.0,M,M,1,1
5642,anangelica,1.0,F,F,1,1
95301,adenilia,1.0,F,F,1,1
33136,gisselma,1.0,F,F,1,1
53065,lindamara,1.0,F,F,1,1
68808,reinam,1.0,M,M,1,1
20793,edaiane,1.0,F,F,1,1
4348,allan,0.9913717886572952,M,M,1,1
82009,vitorugo,1.0,M,M,1,1
39103,isalla,1.0,F,F,1,1
83417,wendel,0.9924080354813462,M,M,1,1
97360,edilele,1.0,F,F,0,1
42310,jeamerson,1.0,M,M,1,1
92662,iavan,1.0,M,M,1,1
40113,ivonilza,1.0,F,F,1,1
71683,rosineiri,1.0,F,F,0,1
45901,josielson,1.0,M,M,0,1
79542,valdecler,1.0,M,M,1,1
94423,valtiza,1.0,F,F,1,1
84252,wilson,0.9975052966101696,M,M,1,1
90743,tathila,1.0,F,F,1,1
88728,ilsia,1.0,F,F,1,1
33344,gladistone,1.0,M,M,1,1
35997,herverson,1.0,M,M,1,1
32773,gilvanne,1.0,M,F,1,1
10062,brener,0.9887543252595156,M,M,0,1
83872,wigson,1.0,M,M,1,1
10969,cathia,1.0,F,F,0,1
81407,veraneide,1.0,F,F,1,1
1407,adimilton,1.0,M,M,1,1
60560,mozard,1.0,M,M,1,1
25463,enemesio,1.0,M,M,1,1
32469,gildevando,1.0,M,M,1,1
11707,cherman,1.0,M,M,1,1
59882,miracilda,1.0,F,F,1,1
18074,devaldir,1.0,M,M,1,1
71626,rosimario,0.9723374827109268,M,M,1,1
69928,rivael,1.0,M,M,1,1
48127,kan,1.0,M,M,1,1
1645,adnea,1.0,F,F,1,1
60098,mirson,1.0,M,M,1,1
70079,robemar,1.0,M,M,0,1
96702,mabiele,1.0,F,F,0,1
55354,luziandra,1.0,F,F,1,1
9066,aynoa,1.0,F,F,1,1
14801,cristini,1.0,F,F,1,1
63192,niceia,0.9930232558139536,F,F,0,1
2874,albene,0.7266187050359713,F,F,0,1
55644,macilene,0.994269340974212,F,F,0,1
97810,egilia,1.0,F,F,1,1
53554,liticia,1.0,F,F,1,1
37101,idamaris,1.0,F,F,1,1
99223,alaeni,1.0,F,F,0,1
75051,sirilei,1.0,F,F,0,1
72096,rualison,1.0,M,M,1,1
94617,aldema,0.6893939393939394,F,F,1,1
90464,gilele,1.0,F,F,1,1
58525,maurizam,1.0,M,M,0,1
84829,yohan,1.0,M,M,1,1
82247,wal,0.6067415730337079,M,M,1,1
34347,gricelda,1.0,F,F,1,1
16766,deladier,1.0,M,M,1,1
91691,adajilson,1.0,M,M,1,1
44992,jonelma,1.0,F,F,1,1
55545,mab,1.0,F,M,1,1
6958,arami,0.8676470588235294,M,F,1,1
2493,aiona,1.0,F,F,1,1
12606,claudemir,0.9941836794044088,M,M,0,1
68895,rejanilda,1.0,F,F,1,1
29894,frank,0.994049744138998,M,M,1,1
33135,gisselly,1.0,F,F,1,1
19383,dircemar,1.0,F,M,1,1
93478,donizio,1.0,M,M,1,1
32857,ginna,1.0,F,F,1,1
75433,sonielle,1.0,F,F,1,1
37204,idelmon,1.0,M,M,0,1
1191,adeson,1.0,M,M,1,1
78488,tomires,0.5799086757990868,M,F,0,1
68087,ranerson,1.0,M,M,1,1
67257,queilha,1.0,F,F,1,1
79579,valdeita,1.0,F,F,1,1
97251,marelo,1.0,M,M,1,1
58152,marusa,1.0,F,F,1,1
3065,alcibio,1.0,M,M,0,1
29166,florena,1.0,F,F,0,1
17465,deomara,1.0,F,F,1,1
12918,claurea,1.0,F,F,0,1
17467,deomedes,1.0,M,M,1,1
23108,elecsandro,1.0,M,M,1,1
86591,tailania,1.0,F,F,1,1
137,abilde,0.5038759689922481,F,F,1,1
30416,gedi,0.717948717948718,F,F,1,1
92839,devanyr,1.0,M,F,1,1
43670,jilney,1.0,M,M,1,1
96070,jeuciane,1.0,F,F,1,1
11398,cenyra,1.0,F,F,1,1
82647,walquirene,1.0,F,F,0,1
98688,lurrane,1.0,F,F,1,1
27929,evanea,1.0,F,F,1,1
40907,jaildon,1.0,M,M,1,1
88395,wuilhan,1.0,M,M,1,1
12791,claudineti,1.0,F,F,1,1
95853,jionathan,1.0,M,M,1,1
88512,seica,1.0,F,F,1,1
40143,izaack,1.0,M,M,1,1
30440,gedival,1.0,M,M,1,0
58177,marwan,1.0,M,M,1,1
36065,heverthon,1.0,M,M,1,1
29851,franco,0.9936623775686576,M,M,1,1
64805,odlon,1.0,M,M,1,1
5563,analicio,1.0,M,M,1,1
14486,crenir,1.0,F,F,0,1
93963,ezal,1.0,M,M,1,1
30710,geliani,1.0,F,F,1,1
86419,eveliy,1.0,F,F,1,1
98599,bernabete,1.0,F,F,1,1
61240,nalanda,1.0,F,F,1,1
33974,goethe,1.0,M,F,1,1
85002,yuliane,1.0,F,F,1,1
13336,cleimarcio,1.0,M,M,1,1
64954,oldecir,1.0,M,M,0,1
98869,marcoz,1.0,M,M,1,1
21558,edimarcos,1.0,M,M,1,1
22695,eiane,1.0,F,F,1,1
44997,jonesclei,1.0,M,M,1,1
94467,bemiro,1.0,M,M,0,1
9459,benedita,0.9958634070624758,F,F,1,1
83637,wes,1.0,M,M,1,1
63779,nirvana,1.0,F,F,1,1
14111,clis,0.717391304347826,F,M,1,1
25409,enedilza,1.0,F,F,1,1
76752,talys,0.9522673031026252,M,M,1,1
11937,ciderval,1.0,M,M,1,1
62302,neiron,1.0,M,M,1,1
46659,juceia,1.0,F,F,1,1
50773,laryce,1.0,F,F,1,1
17843,deusdenia,1.0,F,F,1,1
86443,micoli,1.0,F,F,0,1
79204,urcino,1.0,M,M,0,1
83789,whallyson,1.0,M,M,1,1
22969,elciomar,1.0,M,M,0,1
842,adelina,0.9961748246794644,F,F,1,1
3832,alencar,0.9933362306243664,M,M,1,1
90076,isabora,1.0,F,F,1,1
14793,cristinaldo,1.0,M,M,1,1
74953,sineir,1.0,M,F,1,1
11380,cenilma,1.0,F,F,0,1
74990,sinivaldo,1.0,M,M,1,1
91609,cleza,1.0,F,F,0,1
48396,katarine,1.0,F,F,0,1
94885,gildeom,1.0,M,M,1,1
61437,narcisa,1.0,F,F,1,1
93384,hennzo,1.0,M,M,1,1
3653,aldori,1.0,M,M,1,1
19926,donaldson,1.0,M,M,1,1
71018,roquenildo,1.0,M,M,0,1
55116,lurdi,1.0,F,M,1,1
12051,ciliane,1.0,F,F,1,1
61996,naysa,1.0,F,F,1,1
57785,marlenilson,1.0,M,M,1,1
40844,jahyr,1.0,M,M,0,1
27975,evaniel,1.0,M,M,1,1
78554,tracy,1.0,F,F,1,1
45260,jorgenaldo,1.0,M,M,1,1
17844,deusderio,1.0,M,M,1,1
